1,Curried Green Bean Salad,"This version of a cold bean salad is made with canned green beans, garlic, ginger, and curry powder.",3.75,http://images.media-allrecipes.com/userphotos/250x250/01/04/27/1042750.jpg,allrecipes.com/recipe/222038/curried-green-bean-salad/
2,Keema Aloo (Ground Beef and Potatoes),I guarantee you will love this meal. It is by far my favorite Indian recipe--my mom still makes this for me to this day. Serve over rice.,4.6100001335144,http://images.media-allrecipes.com/userphotos/250x250/03/90/20/3902019.jpg,allrecipes.com/recipe/231026/keema-aloo-ground-beef-and-potatoes/
3,Roti Canai/Paratha (Indian Pancake),"Roti Canai, an Indian pancake, are easy to make at home using 6 simple ingredients; eat as a snack or with a meal with curry and sambal.",5,http://images.media-allrecipes.com/userphotos/250x250/03/67/84/3678414.jpg,allrecipes.com/recipe/247233/roti-canaiparatha-indian-pancake/
4,Black Chana with Potato,"Black chickpeas are simmered with potatoes, onion, turmeric, and cumin in this classic vegetarian Indian dish called black chana with potatoes.",5,http://images.media-allrecipes.com/userphotos/250x250/03/65/27/3652766.jpg,allrecipes.com/recipe/246179/black-chana-with-potato/
5,Tomato Cucumber Kachumbar,"This Indian salad called kachumbar is a mix of cucumber, tomato, lemon juice, and fresh herbs that'll lighten up any curry it's served with.",5,http://images.media-allrecipes.com/userphotos/250x250/04/40/37/4403730.jpg,allrecipes.com/recipe/256599/tomato-cucumber-kachumbar/
6,Red Split Lentils (Masoor Dal),"These Indian-inspired red lentils (masoor dal) flavored with cumin, turmeric, and ginger can be customized to suit your family's tastes.",3.82999992370605,http://images.media-allrecipes.com/userphotos/250x250/04/04/31/4043180.jpg,allrecipes.com/recipe/247204/red-split-lentils-masoor-dal/
7,Coconut Chutney,Fresh grated coconut and yogurt form the base of this tangy chutney from South India.,4.38000011444092,http://images.media-allrecipes.com/userphotos/250x250/04/55/10/4551087.jpg,allrecipes.com/recipe/34591/coconut-chutney/
8,Tamarind Sauce Fish Curry,This tangy fish curry is an authentic coastal Indian dish that is ready in less than an hour.,5,http://images.media-allrecipes.com/userphotos/250x250/02/65/50/2655041.jpg,allrecipes.com/recipe/245131/tamarind-sauce-fish-curry/
9,Kashmiri Lamb,"This lamb curry features green and red chiles, dried coconut, and almonds in a saffron-yogurt sauce. It's an example of the rich cooking style of Kashmir, worthy of the Moghul emperors--or your dinner guests! Serve it with basmati rice or crusty breads.",4.6100001335144,http://images.media-allrecipes.com/userphotos/250x250/00/81/10/811005.jpg,allrecipes.com/recipe/220560/kashmiri-lamb/
10,Chicken Tikka Masala,This is an easy recipe for Chicken Tikka Masala--chicken marinated in yogurt and spices and then served in a tomato cream sauce. Serve with rice or warm flatbreads.,4.3899998664856,http://images.media-allrecipes.com/userphotos/250x250/00/03/99/39905.jpg,allrecipes.com/recipe/45736/chicken-tikka-masala/
11,Naan,"This recipe makes the best naan I have tasted outside of an Indian restaurant. I can't make enough of it for my family. I serve it with shish kabobs, but I think they would eat it plain.",4.69999980926514,http://images.media-allrecipes.com/userphotos/250x250/00/11/53/115386.jpg,allrecipes.com/recipe/14565/naan/
12,Mulligatawny Soup I,"This recipe combines chicken breast, curry powder, rice, chopped apple, and cream for lovely, Indian-inspired soup.  You will need about an hour to prepare this soup.",4.80000019073486,http://images.media-allrecipes.com/userphotos/250x250/01/09/61/1096121.jpg,allrecipes.com/recipe/13087/mulligatawny-soup-i/
13,Vegetarian Korma,"This is an easy vegetarian curry. It's rich, creamy, mildly spiced, and extremely flavorful. Serve with naan and rice.",4.55999994277954,http://images.media-allrecipes.com/userphotos/250x250/03/78/72/3787267.jpg,allrecipes.com/recipe/60598/vegetarian-korma/
14,Curry Stand Chicken Tikka Masala Sauce,Chunks of chicken simmer in a spicy tomato and cream sauce for the bright orange chicken tikka masala you crave.,4.90999984741211,http://images.media-allrecipes.com/userphotos/250x250/03/49/62/3496286.jpg,allrecipes.com/recipe/228293/curry-stand-chicken-tikka-masala-sauce/
15,Indian Chicken Curry II,Indian-inspired chicken curry includes a variety of aromatic spices simmered in a coconut milk-based sauce and served with naan bread and rice.,4.26000022888184,http://images.media-allrecipes.com/userphotos/250x250/00/11/13/111308.jpg,allrecipes.com/recipe/46822/indian-chicken-curry-ii/
16,Chicken Makhani (Indian Butter Chicken),Chicken Makhani is one of my favorite Indian dishes. It is a full flavored dish that complements the chicken well. It can be made as mild or spicy as you wish by adjusting the cayenne.,4.48999977111816,http://images.media-allrecipes.com/userphotos/250x250/01/11/63/1116370.jpg,allrecipes.com/recipe/45957/chicken-makhani-indian-butter-chicken/
