dishId,userId,rating
291,621295,5
291,601565,4
291,3306974,4
291,3731829,5
291,5231808,4
291,2250616,5
291,2341968,5
291,5075555,3
291,4279632,5
291,412334,4
291,15354427,5
172,3487628,4
172,3942981,5
172,2607558,5
172,1563094,1
172,13145514,5
172,13754473,3
172,1518368,5
172,2632380,5
172,3558085,4
172,21271246,5
172,18219342,5
172,12609124,3
172,12504258,5
172,10384721,5
172,15070706,5
172,6864182,5
172,21928365,4
172,16783436,4
172,14530440,5
172,15006226,4
172,17964634,4
172,17548732,3
172,7524324,4
172,2503637,5
172,4763812,1
172,2883277,4
172,8869636,4
172,14321997,5
172,14257228,4
172,9348755,2
172,10422642,4
319,2400588,5
319,3183121,5
319,3716707,5
319,932233,5
319,2475954,5
319,4382847,4
319,3720262,4
319,3186626,4
319,9335167,5
323,827351,4
323,3806580,3
323,3925544,4
323,2761942,4
323,2744135,4
323,2701179,4
323,12609680,3
235,8223812,5
235,1311722,5
235,327640,4
235,1525235,5
235,1785770,5
235,3531074,5
235,639795,4
235,2251060,5
235,2596529,5
235,3836430,5
235,1714045,4
235,812066,4
235,10948244,5
235,1506959,5
396,2761942,5
396,5759252,5
396,14591279,4
396,11196522,5
678,22600665,5
208,8121007,3
208,3153851,5
208,7057770,5
208,4716432,2
208,6020029,3
208,8658616,3
208,6056347,4
208,2417067,4
208,2391169,4
208,6243562,3
208,3352370,4
208,7601526,3
208,8582332,2
208,10473313,4
208,9026605,4
208,16006627,4
208,21039466,5
208,7724095,5
208,15517180,4
208,17133874,4
208,4054264,5
208,6681889,3
276,1606678,5
276,3632174,5
276,2744565,5
276,3326566,5
276,4351759,4
276,2762566,5
276,1958749,5
276,1272518,3
276,2828639,3
276,3682179,5
276,5632426,5
276,2120442,5
548,11638119,5
548,3855980,5
89,296701,5
89,5572271,4
89,357400,4
89,148,4
89,2095219,5
89,1402411,4
89,735315,5
89,1347392,1
89,2052457,4
89,5608150,5
89,762286,5
89,1259310,5
89,1201206,3
89,8210197,5
89,1689550,4
89,5417157,5
89,2020461,4
89,2683017,5
89,7748759,3
89,1562781,4
