dishId,userId,rating
291,0,5
291,1,4
291,2,4
291,3,5
291,4,4
291,5,5
291,6,5
291,7,3
291,8,5
291,9,4
291,10,5
172,11,4
172,12,5
172,13,5
172,14,1
172,15,5
172,16,3
172,17,5
172,18,5
172,19,4
172,20,5
172,21,5
172,22,3
172,23,5
172,24,5
172,25,5
172,26,5
172,27,4
172,28,4
172,29,5
172,30,4
172,31,4
172,32,3
172,33,4
172,34,5
172,35,1
172,36,4
172,37,4
172,38,5
172,39,4
172,40,2
172,41,4
319,42,5
319,43,5
319,44,5
319,45,5
319,46,5
319,47,4
319,48,4
319,49,4
319,50,5
323,51,4
323,52,3
323,53,4
323,54,4
323,55,4
323,56,4
323,57,3
235,58,5
235,59,5
235,60,4
235,61,5
235,62,5
235,63,5
235,64,4
235,65,5
235,66,5
235,67,5
235,68,4
235,69,4
235,70,5
235,71,5
396,54,5
396,72,5
396,73,4
396,74,5
678,75,5
208,76,3
208,77,5
208,78,5
208,79,2
208,80,3
208,81,3
208,82,4
208,83,4
208,84,4
208,85,3
208,86,4
208,87,3
208,88,2
208,89,4
208,90,4
208,91,4
208,92,5
208,93,5
208,94,4
208,95,4
208,96,5
208,97,3
276,98,5
276,99,5
276,100,5
276,101,5
276,102,4
276,103,5
276,104,5
276,105,3
276,106,3
276,107,5
276,108,5
276,109,5
548,110,5
548,111,5
89,112,5
89,113,4
89,114,4
89,115,4
89,116,5
89,117,4
89,118,5
89,119,1
89,120,4
89,121,5
89,122,5
89,123,5
89,124,3
89,125,5
89,126,4
89,127,5
89,128,4
89,129,5
89,130,3
89,131,4
89,132,5
89,133,4
89,134,1
89,135,5
89,136,5
89,137,3
89,138,4
89,139,2
89,140,4
89,141,4
89,142,2
89,143,4
89,144,5
89,35,5
89,145,4
89,146,2
89,147,5
89,148,5
89,149,3
89,150,4
89,151,5
89,152,5
89,153,3
89,154,3
89,155,5
89,156,4
89,157,5
89,158,5
89,159,5
89,160,5
89,161,5
89,162,5
89,163,5
89,164,4
89,165,2
89,166,5
89,167,5
89,168,5
89,169,5
89,170,3
89,171,5
89,172,4
89,173,3
89,174,5
89,175,4
89,176,4
89,177,3
525,51,3
525,178,1
186,179,4
186,180,2
186,181,5
186,182,5
186,183,5
